#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
-0.79119 0.54776 1.0539 -0.10856 0 1 0.012426 0
-0.9737 0.56344 1.0322 -0.14487 0 0 0.016847 0
-0.55681 0.56381 1.1037 -0.13849 0 0.01 0.016847 0
-0.11392 0.56589 1.176 -0.13139 0 0.02 0.016847 0
0.35387 0.56967 1.2493 -0.12366 0 0.03 0.016847 0
0.8461 0.57514 1.3235 -0.1154 0 0.04 0.016847 0
1.3628 0.58228 1.3987 -0.10669 0 0.05 0.016847 0
1.9046 0.59109 1.4749 -0.097591 0 0.06 0.016847 0
2.472 0.60153 1.5521 -0.088189 0 0.07 0.016847 0
3.0661 0.61357 1.6301 -0.078542 0 0.08 0.016847 0
3.6876 0.62717 1.7089 -0.068705 0 0.09 0.016847 0
4.3373 0.64228 1.7881 -0.058722 0 0.1 0.016847 0
5.0156 0.65886 1.8675 -0.048629 0 0.11 0.016847 0
5.7228 0.67683 1.9468 -0.038454 0 0.12 0.016847 0
6.4583 0.69613 2.0257 -0.028221 0 0.13 0.016847 0
7.2216 0.7167 2.1036 -0.017944 0 0.14 0.016847 0
8.0112 0.73844 2.1801 -0.0076351 0 0.15 0.016847 0
8.8254 0.76129 2.2548 0.0026969 0 0.16 0.016847 0
9.6621 0.78513 2.3272 0.013045 0 0.17 0.016847 0
10.519 0.8099 2.3967 0.023403 0 0.18 0.016847 0
11.392 0.83547 2.4627 0.033766 0 0.19 0.016847 0
12.279 0.86175 2.5248 0.044125 0 0.2 0.016847 0
13.176 0.88864 2.5824 0.054471 0 0.21 0.016847 0
14.079 0.91603 2.635 0.064793 0 0.22 0.016847 0
14.984 0.9438 2.682 0.075078 0 0.23 0.016847 0
