#"T"	"Points:0"	"Points:1"	"Points:2"
1.0352	0.26	0.17	0
1.0395	0.27	0.17	0
1.0438	0.28	0.17	0
1.048	0.29	0.17	0
1.0521	0.3	0.17	0
1.0562	0.31	0.17	0
1.0601	0.32	0.17	0
1.0639	0.33	0.17	0
1.0676	0.34	0.17	0
1.0712	0.35	0.17	0
1.0746	0.36	0.17	0
1.0778	0.37	0.17	0
1.0808	0.38	0.17	0
1.0837	0.39	0.17	0
1.0863	0.4	0.17	0
1.0887	0.41	0.17	0
1.0909	0.42	0.17	0
1.0929	0.43	0.17	0
1.0946	0.44	0.17	0
1.096	0.45	0.17	0
1.0972	0.46	0.17	0
1.0982	0.47	0.17	0
1.0988	0.48	0.17	0
1.0992	0.49	0.17	0
1.0994	0.5	0.17	0
0.95863	0	0.18	0
0.95878	0.01	0.18	0
0.9592	0.02	0.18	0
0.95992	0.03	0.18	0
0.96091	0.04	0.18	0
0.96218	0.05	0.18	0
0.96372	0.06	0.18	0
0.96552	0.07	0.18	0
0.96758	0.08	0.18	0
0.9699	0.09	0.18	0
0.97245	0.1	0.18	0
0.97523	0.11	0.18	0
0.97824	0.12	0.18	0
0.98145	0.13	0.18	0
0.98485	0.14	0.18	0
0.98844	0.15	0.18	0
0.99219	0.16	0.18	0
0.9961	0.17	0.18	0
1.0001	0.18	0.18	0
1.0043	0.19	0.18	0
1.0086	0.2	0.18	0
