#"p" "T" "U:0" "U:1" "U:2" "Points:0" "Points:1" "Points:2"
0.26511 1.6152 0.00026419 0.00051884 5.0355e-23 -0.59175 1.1719 0.5
0.24878 1.8821 -6.5912e-05 0.00013239 -2.9858e-23 -1.676 0.25159 0.5
0.24848 1.8911 -5.9992e-05 0.00010775 -5.0466e-23 -1.7014 0.21678 0.5
0.24821 1.8962 -5.012e-05 0.0001239 1.3075e-22 -1.7093 0.25952 0.5
0.28709 1.4988 -0.00017651 -0.00010827 -4.7535e-23 0.76137 1.2887 0.5
0.29996 1.4737 -0.00045582 -1.5622e-05 -1.8794e-23 0.75121 1.2717 0.5
0.28845 1.4963 -0.00019036 -9.2616e-05 5.1893e-23 0.73917 1.295 0.5
0.2524 1.6945 0.00079223 0.00066492 1.5506e-22 -0.51931 1.3535 0.5
0.18005 1.8231 0.0019754 -0.00096094 -2.3271e-23 0.8653 1.5724 0.5
0.17751 1.8408 0.0019182 -0.00091735 1.9071e-23 0.85821 1.5979 0.5
0.17406 1.8491 0.0018724 -0.0009363 -5.6114e-25 0.88424 1.5947 0.5
0.18602 1.8767 0.0017404 -0.00058782 -5.9535e-24 0.66334 1.7143 0.5
0.18357 1.896 0.0015778 -0.00053937 5.2593e-23 0.66474 1.7404 0.5
0.18315 1.8884 0.0016487 -0.0005805 2.7812e-23 0.68543 1.7243 0.5
0.29084 1.4943 -0.00029698 -0.00014989 -7.8085e-23 1.2613 0.99967 0.5
0.24662 1.7636 0.00086182 0.00073843 7.985e-23 -0.70056 1.3713 0.5
0.24912 1.7397 0.0007953 0.00073592 -7.4654e-23 -0.68537 1.3331 0.5
0.24788 1.7535 0.00080676 0.0007417 1.6249e-22 -0.71362 1.3401 0.5
0.59187 1.2734 -0.00097111 0.0012601 1.0954e-22 1.464 0.55356 0.5
0.53991 1.3039 -0.00093554 0.0011248 5.6474e-23 1.4757 0.56112 0.5
0.57202 1.286 -0.00095795 0.0011821 -1.4437e-22 1.475 0.54491 0.5
0.52004 1.3177 -0.00091064 0.0010264 -4.1908e-23 1.4869 0.55381 0.5
0.25321 1.7104 0.00060599 0.00072341 4.598e-23 -0.72703 1.2446 0.5
0.2556 1.6897 0.0005213 0.00069457 -1.4556e-24 -0.71315 1.2136 0.5
0.25373 1.7079 0.00056884 0.00072206 1.1447e-22 -0.74709 1.2243 0.5
0.32502 1.3419 -0.00075208 -0.00049538 -1.2315e-22 -0.56237 0.73672 0.5
0.32585 1.3408 -0.00077242 -0.00050769 4.81e-23 -0.54419 0.75678 0.5
0.33564 1.3106 -0.00079176 -0.00059011 1.4392e-22 -0.52973 0.72591 0.5
0.12837 1.6698 -2.6093e-05 -0.0011288 -2.9929e-23 1.7028 0.52521 0.5
-0.050426 1.8883 -8.0963e-05 -0.00012238 -1.0836e-24 1.9253 0.057384 0.5
-0.041077 1.8729 -0.00010358 -0.00012204 -6.8571e-26 1.9155 0.052838 0.5
-0.041056 1.8737 -9.7227e-05 -0.00014614 -5.721e-25 1.916 0.064323 0.5
0.29711 1.4539 -0.00057752 -8.7692e-05 -4.2309e-23 -0.38009 1.0749 0.5
0.29096 1.4785 -0.00044676 1.7939e-05 4.433e-23 -0.38484 1.1065 0.5
0.29683 1.4555 -0.00057363 -7.062e-05 -1.3047e-22 -0.35678 1.0953 0.5
0.30202 1.4691 -0.00050725 2.5789e-07 1.2423e-22 0.73219 1.274 0.5
0.27805 1.5446 -0.00034404 0.00026334 3.0495e-23 -0.85791 0.73257 0.5
0.27428 1.5686 -0.00028787 0.00033563 1.6293e-22 -0.89182 0.7434 0.5
0.27497 1.5633 -0.00028358 0.00032789 7.9972e-23 -0.868 0.76618 0.5
0.3974 1.3038 -0.0020695 0.00025852 9.1873e-24 0.5843 1.1812 0.5
0.40276 1.299 -0.0021054 0.00030582 -6.4778e-23 0.60658 1.1737 0.5
0.41428 1.2812 -0.0021954 0.00028164 -1.107e-22 0.58549 1.1658 0.5
0.39876 1.4075 -0.00065054 0.0003983 5.6651e-23 1.5847 0.43777 0.5
0.39224 1.4136 -0.00061468 0.00034568 1.4391e-23 1.5926 0.42612 0.5
0.42552 1.3889 -0.00065067 0.00049579 2.1163e-23 1.5785 0.42752 0.5
0.2504 1.8488 -0.00011352 0.00011771 3.9552e-22 -1.6069 0.18687 0.5
0.25025 1.851 -0.00010613 0.00014012 -1.5987e-24 -1.6072 0.22471 0.5
0.25122 1.8327 -0.00013362 0.00013351 -1.335e-22 -1.5701 0.19805 0.5
0.46186 1.2369 -0.0023775 0.00045204 -1.7888e-23 0.66127 1.1229 0.5
0.4944 1.2035 -0.0024057 0.00045092 -1.9778e-22 0.65898 1.1014 0.5
0.47606 1.219 -0.0024064 0.00041233 -1.6609e-23 0.6427 1.1159 0.5
0.29072 1.4696 -0.00047543 -7.7461e-06 2.1406e-22 -0.91072 0.36668 0.5
0.28661 1.4923 -0.00046821 3.9766e-05 -1.636e-22 -0.93798 0.37963 0.5
0.29006 1.4733 -0.00047827 -5.772e-07 1.0793e-22 -0.90628 0.3994 0.5
0.15697 1.8874 0.0015748 -0.00094466 -1.2067e-23 1.0062 1.5787 0.5
0.16029 1.8789 0.0016488 -0.00095989 -5.7792e-23 0.98339 1.5809 0.5
0.15657 1.8986 0.0014818 -0.00086758 2.816e-24 0.99213 1.6015 0.5
0.20686 1.9025 0.001434 -9.2732e-05 6.4874e-23 0.21387 1.834 0.5
0.20869 1.8811 0.0016083 -0.00010863 -8.7171e-23 0.22631 1.803 0.5
0.20982 1.8839 0.0015758 -7.345e-05 -2.4902e-23 0.19041 1.8083 0.5
1.0997 1.0742 -0.00024128 0.00066893 -3.0411e-23 1.4628 0.35555 0.5
0.26804 1.5377 0.00024105 -0.00033817 -7.9542e-23 0.86304 1.2873 0.5
0.25676 1.5622 0.00050863 -0.00044693 9.1146e-24 0.86743 1.3062 0.5
0.26217 1.5492 0.00035565 -0.00040935 -8.7403e-23 0.88606 1.2867 0.5
0.24198 1.9536 0.00019076 0.00026114 2.1423e-23 -1.4521 1.1961 0.5
0.24154 1.9545 0.00020003 0.00025821 1.3783e-23 -1.4254 1.2352 0.5
0.24217 1.9421 0.000235 0.00031867 -7.3013e-23 -1.4113 1.2057 0.5
0.38213 1.3263 -0.0019204 0.00026426 6.3401e-23 0.59456 1.1947 0.5
0.13428 1.9832 0.00031552 -0.0002174 3.4031e-23 1.1057 1.6443 0.5
0.13471 1.9721 0.00049209 -0.00034074 -3.6561e-23 1.1137 1.6241 0.5
0.13924 1.9585 0.00071466 -0.00047028 -1.7384e-23 1.0871 1.6225 0.5
0.40084 1.3797 -0.0010866 0.00075517 9.3032e-23 1.3167 0.84991 0.5
0.41434 1.3697 -0.0011198 0.00083507 6.5302e-23 1.3249 0.83161 0.5
0.43422 1.3519 -0.0012244 0.00093898 7.8532e-24 1.3091 0.83568 0.5
0.031292 1.9844 0.00017237 -0.0002533 3.9249e-24 1.6565 1.0959 0.5
0.03846 1.9781 0.00023584 -0.00034441 1.2979e-24 1.6405 1.1104 0.5
0.034343 2 0 0 0 1.6586 1.1176 0.5
0.3173 1.4642 -0.00052575 9.4372e-05 8.0477e-23 1.3311 0.90556 0.5
0.34337 1.4364 -0.00073553 0.00032438 -1.226e-22 1.317 0.89476 0.5
0.32379 1.4576 -0.00057333 0.00014932 1.0167e-22 1.3202 0.91175 0.5
0.058921 1.8378 0.00078216 -0.0016188 -5.8974e-24 1.6681 0.8591 0.5
0.24535 1.9299 9.6853e-05 0.00027979 -5.6697e-23 -1.6223 0.81799 0.5
0.24546 1.931 8.522e-05 0.00026617 -8.1186e-23 -1.6397 0.785 0.5
0.24495 1.9438 8.2172e-05 0.00022955 -2.2727e-22 -1.663 0.81472 0.5
0.26297 1.6306 0.00030571 0.00055737 1.413e-24 -0.63087 1.1671 0.5
0.083262 1.7778 0.00072418 -0.0016951 2.7614e-24 1.6531 0.79851 0.5
0.08344 1.7807 0.00074987 -0.0016999 8.9238e-24 1.6478 0.81251 0.5
0.07064 1.8026 0.00074404 -0.0016822 4.1039e-24 1.667 0.80978 0.5
0.5666 1.1606 -0.002257 0.00057459 -1.4153e-22 0.77159 1.0482 0.5
0.61047 1.1259 -0.0020374 0.00054044 5.6854e-23 0.7609 1.0317 0.5
0.56067 1.163 -0.0022888 0.00056955 -6.628e-23 0.75421 1.0563 0.5
0.28841 1.4953 -0.00026653 6.6892e-05 4.2745e-23 0.053002 1.3173 0.5
0.48807 1.2403 -0.002309 0.00075367 2.4753e-22 0.85073 1.0713 0.5
0.46632 1.2647 -0.0022247 0.00071771 1.045e-23 0.87182 1.0794 0.5
0.51321 1.2213 -0.0023061 0.00077909 3.9428e-23 0.86195 1.0559 0.5
0.23876 1.8506 0.00094553 0.00062358 6.4664e-23 -0.74242 1.5258 0.5
0.23909 1.8398 0.00098749 0.00063983 -3.2348e-22 -0.70734 1.5215 0.5
0.23992 1.8334 0.00097141 0.00065832 -5.1994e-23 -0.72104 1.4993 0.5
0.018067 1.829 0.00021386 -0.001239 1.0889e-24 1.8035 0.53612 0.5
0.0051928 1.8503 0.0002182 -0.0011668 1.7555e-24 1.8192 0.53541 0.5
0.014375 1.8318 0.00019641 -0.0012045 1.8595e-26 1.8097 0.52293 0.5
0.23523 1.9107 0.00073906 0.00044001 -2.2326e-23 -0.81472 1.6163 0.5
0.23441 1.9127 0.00075512 0.00042722 8.9305e-23 -0.77962 1.6385 0.5
0.23559 1.8978 0.00081759 0.00048271 8.1173e-23 -0.77701 1.6068 0.5
