#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.68375 1.4689 0.00055507 -0.0036754 1 5
0.6857 1.4647 0.00099998 -0.0036627 2 5
0.68892 1.4579 0.0015166 -0.0036038 3 5
0.69337 1.4486 0.0020244 -0.003512 4 5
0.69906 1.4368 0.0025226 -0.0033896 5 5
0.70595 1.4228 0.0030042 -0.0032386 6 5
0.71403 1.4067 0.0034684 -0.0030619 7 5
0.72327 1.3888 0.0039156 -0.0028632 8 5
0.73362 1.3692 0.0043452 -0.0026466 9 5
0.74504 1.3482 0.0047549 -0.0024158 10 5
0.75751 1.3261 0.0051423 -0.0021741 11 5
0.77095 1.303 0.0055054 -0.0019252 12 5
0.78533 1.2792 0.0058422 -0.0016725 13 5
0.80058 1.2549 0.0061511 -0.0014194 14 5
0.81664 1.2303 0.0064304 -0.001169 15 5
0.83345 1.2056 0.0066787 -0.00092447 16 5
0.85095 1.1809 0.006895 -0.00068854 17 5
0.86905 1.1564 0.007078 -0.00046335 18 5
0.88768 1.1322 0.0072266 -0.00024978 19 5
0.90678 1.1084 0.0073401 -4.7785e-05 20 5
0.92625 1.0852 0.0074186 0.00014285 21 5
0.94603 1.0626 0.0074631 0.00032235 22 5
0.96602 1.0407 0.0074741 0.0004913 23 5
0.98616 1.0196 0.0074534 0.00065006 24 5
1.0063 0.99919 0.0074036 0.00079797 25 5
1.0265 0.97964 0.0073263 0.00093387 26 5
1.0466 0.96095 0.0072224 0.0010596 27 5
1.0665 0.94311 0.0070926 0.001177 28 5
1.0861 0.92615 0.0069375 0.0012849 29 5
1.1054 0.91007 0.0067578 0.0013835 30 5
1.1243 0.89486 0.0065542 0.0014734 31 5
1.1427 0.88053 0.006328 0.0015557 32 5
1.1605 0.86706 0.0060811 0.0016309 33 5
1.1778 0.85446 0.0058151 0.0016996 34 5
1.1943 0.8427 0.0055314 0.0017623 35 5
1.2101 0.83178 0.0052316 0.0018192 36 5
1.2251 0.82168 0.0049169 0.0018706 37 5
1.2391 0.8124 0.0045885 0.0019166 38 5
1.2523 0.80391 0.0042477 0.0019575 39 5
1.2645 0.79621 0.003896 0.0019936 40 5
1.2757 0.78929 0.0035347 0.0020251 41 5
1.2858 0.78312 0.0031651 0.0020524 42 5
1.2948 0.77771 0.0027879 0.0020759 43 5
1.3027 0.77304 0.0024036 0.0020959 44 5
1.3094 0.7691 0.0020123 0.0021131 45 5
1.3149 0.76589 0.0016143 0.0021275 46 5
1.3192 0.76341 0.0012124 0.0021394 47 5
1.3223 0.76162 0.00080927 0.0021486 48 5
1.3242 0.76054 0.00042207 0.0021557 49 5
1.3248 0.76018 0.00023666 0.0021588 50 5
0.70623 1.4222 0.00030995 -0.0041373 0 6
0.70684 1.4209 0.00045446 -0.0041424 1 6
0.70865 1.4173 0.00081143 -0.0041245 2 6
0.71163 1.4113 0.0012299 -0.0040614 3 6
0.71577 1.4032 0.0016402 -0.0039652 4 6
0.72105 1.393 0.0020432 -0.0038365 5 6
0.72746 1.3807 0.0024339 -0.0036765 6 6
0.73498 1.3666 0.0028125 -0.0034881 7 6
0.74356 1.3508 0.00318 -0.0032753 8 6
0.75319 1.3336 0.003536 -0.0030418 9 6
0.76383 1.3151 0.0038794 -0.0027917 10 6
0.77543 1.2954 0.0042082 -0.0025287 11 6
0.78796 1.2749 0.0045204 -0.0022565 12 6
0.80136 1.2536 0.0048144 -0.0019792 13 6
0.81557 1.2319 0.0050881 -0.0017001 14 6
0.83056 1.2097 0.0053399 -0.0014226 15 6
0.84624 1.1874 0.0055683 -0.0011497 16 6
0.86257 1.165 0.0057718 -0.00088426 17 6
0.87948 1.1426 0.0059491 -0.00062828 18 6
0.89689 1.1205 0.0060987 -0.00038305 19 6
0.91475 1.0988 0.0062196 -0.00014908 20 6
0.93296 1.0774 0.0063118 7.3389e-05 21 6
0.95147 1.0565 0.0063753 0.00028423 22 6
0.97019 1.0362 0.0064105 0.00048332 23 6
0.98905 1.0165 0.006418 0.00067046 24 6
1.008 0.99754 0.006399 0.00084547 25 6
1.0269 0.97925 0.006354 0.0010081 26 6
1.0457 0.9617 0.0062827 0.0011596 27 6
1.0644 0.94492 0.0061867 0.0013016 28 6
1.0828 0.92892 0.0060673 0.0014334 29 6
1.1009 0.9137 0.0059253 0.0015553 30 6
1.1187 0.89928 0.0057613 0.0016675 31 6
1.136 0.88566 0.0055761 0.0017707 32 6
1.1528 0.87284 0.005371 0.0018655 33 6
1.169 0.86082 0.0051473 0.0019523 34 6
1.1845 0.84958 0.0049064 0.0020317 35 6
1.1994 0.83913 0.0046496 0.002104 36 6
1.2135 0.82945 0.0043778 0.0021696 37 6
1.2267 0.82053 0.0040924 0.0022285 38 6
1.2391 0.81237 0.0037943 0.0022813 39 6
1.2506 0.80496 0.003485 0.0023281 40 6
1.2611 0.79829 0.0031659 0.0023694 41 6
1.2706 0.79234 0.0028381 0.0024053 42 6
1.2791 0.78712 0.0025024 0.0024364 43 6
1.2866 0.78261 0.0021593 0.0024631 44 6
1.2929 0.7788 0.001809 0.0024858 45 6
1.2981 0.7757 0.0014519 0.002505 46 6
1.3022 0.77329 0.0010906 0.0025207 47 6
1.3051 0.77156 0.00072806 0.0025329 48 6
1.3069 0.77052 0.00038096 0.0025417 49 6
1.3075 0.77017 0.00021529 0.0025453 50 6
0.72767 1.3803 0.00025723 -0.0045188 0 7
0.72823 1.3792 0.00036767 -0.0045221 1 7
0.72991 1.376 0.00064752 -0.0045011 2 7
0.73269 1.3708 0.00098076 -0.0044356 3 7
0.73654 1.3636 0.0013071 -0.0043365 4 7
0.74146 1.3546 0.0016279 -0.004204 5 7
0.74743 1.3438 0.0019401 -0.0040387 6 7
0.75442 1.3314 0.0022444 -0.0038432 7 7
0.76242 1.3174 0.0025421 -0.0036213 8 7
0.7714 1.3021 0.0028334 -0.0033767 9 7
0.78131 1.2857 0.0031174 -0.0031135 10 7
0.79213 1.2681 0.0033927 -0.0028356 11 7
0.80381 1.2498 0.0036574 -0.002547 12 7
0.81631 1.2307 0.0039098 -0.0022516 13 7
0.82958 1.2111 0.0041481 -0.0019531 14 7
0.84357 1.1911 0.0043708 -0.0016548 15 7
